TextID,URL,Label,totalWordsCount,semanticobjscore,semanticsubjscore,CC,CD,DT,EX,FW,INs,JJ,JJR,JJS,LS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TOs,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,baseform,Quotes,questionmarks,exclamationmarks,fullstops,commas,semicolon,colon,ellipsis,pronouns1st,pronouns2nd,pronouns3rd,compsupadjadv,past,imperative,present3rd,present1st2nd,sentence1st,sentencelast,txtcomplexity,site
Text0421,http://www.talksport.co.uk/sports-news/football/premier-league/130221/david-gold-insists-there-no-role-paolo-di-canio-west-ham-192157,0,109,6,1,0,11,0,2,13,8,0,0,0,1,36,0,0,3,0,0,3,3,3,0,0,1,0,4,0,0,2,2,1,3,3,0,0,0,0,0,3,2,0,0,5,1,0,1,0,0,0,5,0,2,0,3,3,1,1,15,www.talksport.co.uk
Text0422,http://www.foxsportswisconsin.com/02/11/13/Golden-Eagles-jump-up-to-No-18-in-AP-pol/landing_marquette.html?blockID=862237&feedID=5065,0,350,12,5,72,20,0,0,42,18,0,1,0,0,85,4,0,13,0,0,0,1,2,0,0,1,0,3,0,0,5,3,4,4,4,0,0,0,0,0,6,0,0,0,45,6,0,1,0,0,0,1,1,5,0,4,4,0,1,6,www.foxsportswisconsin.com
Text0423,http://edition.cnn.com/2013/02/11/sport/golf/golf-snedeker-pebble-beach/index.html?hpt=isp_bn3,0,241,16,3,14,15,0,0,27,18,2,2,0,0,66,0,0,17,1,0,8,7,3,0,0,2,0,5,0,1,6,8,7,4,9,0,1,0,1,0,7,7,0,0,15,4,0,1,0,0,0,12,4,6,1,9,4,1,1,13,edition.cnn.com
Text0424,http://msn.foxsports.com/tennis/story/novak-djokovic-hands-out-chocolates-after-australian-open-title-012713,0,667,35,8,21,57,0,8,60,62,2,1,0,4,150,4,0,31,0,0,27,18,18,0,0,4,10,28,0,3,49,12,8,4,10,2,3,0,2,0,21,18,0,0,40,21,0,3,0,0,1,39,3,49,3,10,4,1,1,15,msn.foxsports.com
Text0425,http://www.dailystar.co.uk/motorsports/view/289485/Ace-Sebastian-Vettel-set-to-continue-with-Adrian-Newey/,0,233,14,3,6,15,1,6,13,13,0,0,0,2,38,0,0,13,0,1,16,4,15,1,0,1,0,8,0,1,4,3,2,11,10,1,0,0,3,0,11,0,0,0,13,9,0,4,0,6,2,6,1,4,1,10,11,1,1,29,www.dailystar.co.uk
Text0426,http://www.bbc.co.uk/sport/0/tennis/21494601,0,436,28,7,33,28,0,7,56,39,0,2,0,2,113,12,0,15,0,0,9,8,14,0,0,1,3,9,0,1,14,8,6,2,16,0,2,0,0,0,7,7,0,0,11,10,0,12,0,1,0,13,2,14,1,16,2,1,1,33,www.bbc.co.uk
Text0427,http://www.wnba.com/news/2013_draft_primetime_tv_121012.html,0,510,14,5,16,50,0,14,49,38,0,0,0,7,140,3,0,25,0,9,4,2,9,0,1,3,0,13,0,1,11,10,4,8,8,2,3,0,0,0,16,0,0,0,18,29,0,1,0,4,0,1,1,11,1,8,8,1,1,30,www.wnba.com
Text0428,http://www.talksport.co.uk/sports-news/boxing/130207/nathan-cleverly-looking-forward-upcoming-title-defence-191201,0,207,19,9,2,19,0,7,24,11,0,0,0,5,46,0,0,1,0,1,13,4,10,0,0,0,0,9,0,1,1,7,4,4,10,0,0,0,0,0,5,1,0,0,8,6,0,0,0,1,0,12,0,1,1,10,4,1,1,29,www.talksport.co.uk
Text0429,http://msn.foxsports.com/wcbk/story/No-12-Oklahoma-St-65-Kansas-52-48953263,0,162,6,3,25,11,0,0,13,6,1,0,0,0,34,1,0,22,0,0,1,0,4,0,0,0,0,2,0,1,11,2,1,2,0,1,1,0,0,0,8,0,0,0,7,8,0,2,0,0,0,1,1,11,1,0,2,1,1,16,msn.foxsports.com
Text0430,http://www.guardian.co.uk/football/2013/feb/22/rafael-benitez-fernando-torres-hazard-chelsea,0,380,23,4,6,37,0,2,53,22,0,2,0,1,94,2,0,22,0,0,20,3,18,1,0,1,1,8,0,1,24,10,7,6,5,0,0,0,1,0,16,5,0,0,19,10,0,1,0,9,0,8,3,24,1,5,6,1,1,18,www.guardian.co.uk
Text0431,http://www.football365.com/news/21554/8446977/Sorry-Liverpool-Exit-FA-Cup-To-Oldham...,0,491,24,4,8,53,0,10,68,32,1,1,0,1,121,0,0,25,0,0,8,4,20,0,0,6,0,20,0,1,39,5,15,4,0,4,3,0,1,0,15,0,0,0,14,9,0,0,0,0,1,9,2,39,1,0,4,1,1,30,www.football365.com
Text0432,http://sportsillustrated.cnn.com/2012/basketball/ncaa/women/04/03/baylor-griner.ap/index.html?%20xid=si_topstories,0,825,39,16,20,74,0,11,98,48,2,3,0,12,182,4,0,45,1,0,26,18,49,1,2,4,7,28,0,9,20,19,11,20,18,0,5,0,3,0,18,10,0,0,50,27,0,2,0,1,6,20,8,20,9,18,20,1,1,15,sportsillustrated.cnn.com
Text0433,http://msn.foxsports.com/nfl/story/atlanta-falcons-replacing-strength-coach-jeff-fish-012213,0,223,13,4,6,21,0,5,24,18,0,1,0,2,74,1,0,14,0,5,4,3,2,0,0,0,0,2,0,0,7,4,5,2,7,1,0,0,1,0,6,1,0,0,14,3,0,0,0,0,0,5,1,7,0,7,2,1,1,15,msn.foxsports.com
Text0434,http://msn.foxsports.com/wnba/story/Lynx-83-Fever-71-68587237,0,735,57,15,34,88,0,0,82,57,1,1,0,0,191,3,0,33,0,0,16,13,27,2,1,6,3,17,0,4,57,11,11,4,8,2,3,0,1,0,21,10,0,0,42,25,0,1,0,0,0,27,5,57,4,8,4,1,1,16,msn.foxsports.com
Text0435,http://msn.foxsports.com/nfl/story/washington-redskins-robert-griffin-iii-lcl-sprain-not-ruled-out-for-sunday-121012,0,993,55,29,26,88,0,16,108,64,4,4,0,15,236,11,0,61,0,0,35,14,41,2,1,3,12,28,0,5,52,14,13,10,26,6,4,0,6,0,20,21,0,0,58,32,1,0,0,6,1,23,11,52,5,26,10,1,1,17,msn.foxsports.com
Text0436,http://www.wnba.com/features/mccoughtry_010813.html,0,1634,87,34,31,164,0,34,180,130,3,7,0,15,344,2,0,60,1,4,63,18,73,2,1,6,2,32,0,14,45,44,11,37,53,6,12,0,10,0,58,8,1,0,91,90,0,0,0,10,15,25,13,45,14,53,37,1,1,22,www.wnba.com
Text0437,http://www.foxsportswisconsin.com/01/25/13/Hart-undergoes-surgery-on-right-knee/landing_brewers.html?blockID=854593&feedID=5059,0,264,13,2,9,22,0,0,36,25,0,2,0,5,78,10,0,12,0,0,2,3,3,0,0,0,0,5,0,1,17,6,5,0,1,0,1,0,1,0,7,0,0,0,15,7,0,0,0,0,0,3,2,17,1,1,0,1,1,15,www.foxsportswisconsin.com
Text0438,http://msn.foxsports.com/nfl/story/scott-pioli-kansas-city-chiefs-nfl-general-manager-part-ways-0104113,0,344,17,5,9,32,1,5,35,30,0,0,0,2,96,5,0,30,0,0,2,6,10,1,0,2,3,10,0,1,14,5,6,2,6,0,1,0,0,0,11,5,0,0,18,13,0,0,0,2,0,6,1,14,1,6,2,1,1,16,msn.foxsports.com
Text0439,http://msn.foxsports.com/tennis/story/victoria-azarenka-fake-injury-timeout-australian-open-sloane-stephens-012413,0,1015,55,33,23,102,1,14,89,70,3,3,0,12,188,2,0,53,2,7,51,11,59,2,0,11,0,18,0,6,69,26,12,17,16,0,8,0,9,0,22,1,1,0,70,56,0,2,0,3,4,41,8,69,6,16,17,1,1,15,msn.foxsports.com
Text0440,http://www.dailystar.co.uk/football/view/299489/Wigan-ace-Callum-McManaman-eager-to-face-old-side-Everton/,0,95,5,1,2,10,0,0,7,4,0,0,0,1,36,0,0,5,0,0,0,3,3,0,0,0,0,3,0,1,2,1,4,1,3,0,0,0,0,0,3,0,0,0,4,2,0,0,0,0,0,3,0,2,1,3,1,1,1,15,www.dailystar.co.uk
Text0441,http://www.nba.com/pistons/features/truebluepistons_130218.html,0,834,52,16,33,83,1,4,89,60,4,0,0,10,147,5,0,57,0,5,30,8,35,0,0,5,0,24,0,3,28,20,19,15,25,1,6,1,4,0,23,0,0,0,33,36,0,1,0,4,2,21,4,28,3,25,15,1,1,36,www.nba.com
Text0442,http://www.foxsportssouthwest.com/01/10/13/Numbers-led-to-Rockets-draft-error/landing.html?blockID=847625&feedID=3742,1,1090,68,25,14,123,3,10,112,108,2,4,0,15,197,0,0,64,1,0,35,21,64,2,1,4,0,24,0,10,22,27,17,23,26,10,7,0,8,0,36,0,3,0,35,46,0,2,0,0,3,39,9,22,10,26,23,1,1,27,www.foxsportssouthwest.com
Text0443,http://msn.foxsports.com/tennis/story/novak-djokovic-wins-third-straight-australian-open-title-beats-andy-murray-012713,0,925,74,16,30,93,1,19,103,68,2,2,0,7,174,1,0,25,0,9,38,15,44,4,0,6,0,21,0,7,57,15,24,10,14,5,5,0,5,0,24,1,0,0,43,50,0,0,0,3,3,23,8,57,7,14,10,1,1,26,msn.foxsports.com
Text0444,http://uk.eurosport.yahoo.com/news/bundesliga-second-string-bayern-hoffenheim-164807222.html,0,366,20,7,15,30,0,2,49,34,0,0,0,0,96,4,0,26,0,0,3,7,11,0,0,3,1,9,0,3,24,6,3,4,2,2,3,1,1,0,9,3,0,0,14,13,0,0,0,1,0,8,0,24,3,2,4,1,1,22,uk.eurosport.yahoo.com
Text0445,http://uk.eurosport.yahoo.com/news/football-fifa-makes-anti-doping-commitment-120731326.html,0,180,4,3,4,16,1,0,16,8,2,0,0,3,65,0,0,11,0,0,1,0,5,1,0,0,3,4,0,1,8,3,2,3,3,2,0,0,0,0,3,5,0,1,12,4,0,3,0,0,0,1,3,8,1,3,3,1,1,12,uk.eurosport.yahoo.com
Text0446,http://msn.foxsports.com/nfl/story/New-Orleans-Saints-Jonathan-Vilma-Scott-Fujita-Anthony-Hargrove-Will-Smith-suspensions-reissued-100912,0,1009,37,16,19,107,0,10,98,61,2,2,0,17,213,2,0,81,0,5,29,17,22,1,1,3,4,41,0,5,54,12,33,8,17,9,2,0,1,0,31,7,0,0,40,40,0,0,0,5,0,32,6,54,5,17,8,1,1,25,msn.foxsports.com
Text0447,http://www.masslive.com/news/index.ssf/2012/11/uconn_wnba_basketball_player_r.html,0,369,12,3,17,35,0,5,46,24,1,0,0,7,94,0,0,18,0,4,9,5,5,0,2,1,0,7,0,0,9,8,6,3,2,0,0,0,2,0,13,0,0,0,19,20,0,1,0,2,0,12,3,9,0,2,3,1,1,19,www.masslive.com
Text0448,http://www.rbs6nations.com/en/22343.php,0,241,10,7,2,16,1,5,26,17,0,2,0,0,48,1,0,10,0,3,13,4,10,0,0,2,0,6,0,1,8,6,6,12,6,0,1,0,0,0,10,2,0,0,10,12,1,0,0,4,1,10,2,8,1,6,12,1,1,34,www.rbs6nations.com
Text0449,http://msn.foxsports.com/collegebasketball/story/georgetown-hoyas-hand-louisville-cardinals-third-straight-loss-012613,0,707,41,12,35,63,2,6,71,45,2,2,0,2,150,4,0,35,0,0,17,11,34,0,0,6,6,21,0,1,43,16,15,17,14,6,2,0,2,0,21,11,1,0,39,27,0,2,0,1,2,21,4,43,1,14,17,0,1,16,msn.foxsports.com
Text0450,http://msn.foxsports.com/nfl/story/scott-fujita-rips-commissioner-roger-goodell-bounty-suspension-101012,0,805,31,17,13,67,1,5,85,47,3,3,0,9,198,4,0,56,0,0,35,16,30,1,0,2,6,17,0,1,62,9,29,8,17,4,1,0,3,0,23,19,0,0,48,26,0,0,0,3,0,32,7,62,1,17,8,1,1,15,msn.foxsports.com
Text0451,http://msn.foxsports.com/foxsoccer/facup/story/brighton-2-3-arsenal-theo-walcott-olivier-giroud-fa-cup-fourth-round-012613,0,747,53,11,16,94,0,4,102,38,2,0,0,2,198,1,0,33,0,0,7,6,39,0,0,14,0,17,0,4,62,10,18,2,0,3,3,0,5,0,20,0,0,0,28,32,0,0,0,0,0,9,2,62,4,0,2,1,1,24,msn.foxsports.com
Text0452,http://msn.foxsports.com/nfl/story/president-obama-not-sure-hed-allow-a-son-to-play-football-012613,0,155,3,2,2,17,0,0,19,7,1,0,0,0,47,3,0,9,0,0,7,0,7,0,0,0,2,2,0,2,5,1,1,3,7,1,1,0,0,0,4,6,0,0,9,5,0,0,0,0,1,5,1,5,2,7,3,1,1,14,msn.foxsports.com
Text0453,http://www.foxsportswisconsin.com/01/26/13/Boguts-time-in-Milwaukee-was-bittersweet/landing_bucks.html?blockID=855147&feedID=5059,0,1040,57,24,32,97,1,17,121,53,1,4,0,6,243,9,0,48,0,0,37,33,41,1,0,5,13,31,0,5,68,20,19,10,17,3,3,0,6,0,27,21,1,0,56,33,0,0,0,5,1,44,6,68,5,17,10,1,1,16,www.foxsportswisconsin.com
Text0454,http://msn.foxsports.com/foxsoccer/premierleague/story/stuttgart-signs-manchester-united-striker-macheda-on-loan-012413,0,67,0,0,0,7,0,0,11,2,0,0,0,0,32,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,5,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,0,1,1,16,msn.foxsports.com
Text0455,http://www.foxsportsflorida.com/01/26/13/Reports-MLB-investigating-PEDs-in-south-/msn_landing.html?blockID=855213&feedID=3720,0,216,5,3,4,16,0,2,28,18,0,1,0,0,51,0,0,25,0,1,0,3,5,0,1,0,0,8,0,0,4,5,13,3,3,0,2,0,0,0,10,0,0,0,7,6,0,0,0,0,0,3,2,4,0,3,3,1,1,24,www.foxsportsflorida.com
Text0456,http://www.foxsportsnorth.com/02/12/13/Lynxs-Whalen-leaves-Turkish-team/landing_lynx.html?blockID=862655&feedID=3793,0,171,7,2,9,14,0,5,24,5,0,0,0,3,52,2,0,11,0,0,3,4,5,0,0,0,0,1,0,0,4,4,5,2,3,2,0,0,0,0,3,1,0,0,6,6,0,1,0,0,0,7,0,4,0,3,2,1,1,21,www.foxsportsnorth.com
Text0457,http://msn.foxsports.com/nfl/story/new-york-jets-to-part-ways-with-tim-tebow-122012,0,335,13,5,10,28,0,3,32,11,1,0,0,3,85,2,0,18,0,0,19,4,16,0,0,4,3,11,0,3,23,11,7,3,3,0,3,0,3,0,8,10,0,0,20,7,0,1,0,4,1,10,1,23,3,3,3,1,1,15,msn.foxsports.com
Text0458,http://msn.foxsports.com/wcbk/story/No-13-Louisville-57-St-Johns-54-91412744,0,150,13,1,23,11,0,5,14,15,0,0,0,0,30,0,0,7,0,0,2,1,2,1,0,0,0,2,0,1,13,3,1,0,4,0,0,0,0,0,2,0,0,0,9,5,0,3,0,0,0,2,1,13,1,4,0,1,1,13,msn.foxsports.com
Text0459,http://www.foxsportssouth.com/01/13/13/Falcons-Gonzalez-finally-gets-first-play/landing_falcons.html?blockID=849061&feedID=4354,0,665,32,20,22,55,2,24,67,51,2,1,0,2,112,5,0,25,1,0,45,10,26,1,1,3,1,20,0,10,43,15,15,7,18,0,6,0,3,0,21,0,0,0,36,35,0,1,0,9,5,24,5,43,10,18,7,1,1,17,www.foxsportssouth.com
Text0460,http://www.guardian.co.uk/sport/2013/feb/21/great-britain-gold-womens-world-team-pursuit,0,530,36,13,12,55,0,3,76,37,1,2,0,5,142,2,0,23,0,0,16,16,17,0,0,1,2,12,0,0,19,11,11,2,9,0,3,0,2,0,15,4,0,0,14,16,0,0,0,0,0,25,3,19,0,9,2,1,1,33,www.guardian.co.uk
Text0461,http://msn.foxsports.com/nfl/story/rg3-robert-griffin-iii-washington-redskins-qb-knee-injury-surgery-torn-lcl-acl-010813,0,522,39,7,15,61,0,0,71,41,1,4,0,4,135,2,0,27,0,0,7,8,21,0,0,1,1,14,0,1,40,13,9,3,4,0,2,0,2,0,10,3,0,0,23,13,0,1,0,0,0,15,5,40,1,4,3,1,1,20,msn.foxsports.com
Text0462,http://msn.foxsports.com/foxsoccer/latinamerica/story/concacaf-champions-league-review-halfway-point-santos-laguna-toronto-083112,0,1187,72,28,93,137,0,30,159,80,0,2,0,19,270,8,0,100,0,0,2,9,17,2,2,4,0,31,0,5,16,15,8,13,9,0,0,0,4,0,18,0,0,0,68,36,0,0,0,0,0,6,6,16,5,9,13,1,1,23,msn.foxsports.com
Text0463,http://www.dailystar.co.uk/football/view/299568/Cristiano-Ronaldo-will-be-sold-this-summer-/,0,386,22,3,5,32,0,5,43,36,0,0,0,2,104,3,0,20,0,0,6,7,17,1,1,5,0,13,0,2,4,8,9,7,17,1,1,0,0,0,10,2,0,0,13,11,0,2,0,0,0,7,2,4,2,17,7,1,1,24,www.dailystar.co.uk
Text0464,http://msn.foxsports.com/nfl/story/rob-ryan-fired-dallas-cowboys-defensive-coordinator-010813,0,413,19,5,15,43,0,4,51,35,1,1,0,4,100,3,0,25,1,0,8,2,11,0,0,3,5,8,0,1,24,10,4,3,6,0,1,0,2,0,11,5,1,0,24,18,0,0,0,0,0,7,2,24,1,6,3,1,1,15,msn.foxsports.com
Text0465,http://www.foxsportssouthwest.com/01/27/13/Marion-Nowitzki-lead-Mavericks-past-Suns/landing_mavericks.html?blockID=855523&feedID=3742,0,828,46,10,54,76,0,13,105,81,2,3,0,1,170,5,0,61,0,0,11,9,27,1,0,0,5,8,0,2,63,16,10,9,13,5,10,1,3,0,21,9,0,0,33,33,0,3,0,1,0,12,6,63,2,13,9,1,1,19,www.foxsportssouthwest.com
Text0466,http://www.foxsportskansascity.com/02/11/13/Junior-excited-about-2013-Gen-6/msn_landing.html?blockID=862215&feedID=5089,0,1693,85,41,46,174,4,32,195,99,11,4,0,28,298,3,0,64,2,8,91,21,80,2,1,3,0,49,0,16,61,19,30,32,57,6,6,1,14,0,55,1,5,0,50,48,0,1,0,19,18,40,18,61,16,57,32,1,1,26,www.foxsportskansascity.com
Text0467,http://formula-one.speedtv.com/article/speed-presents-three-time-f1-champ-vettel-with-second-mario-andretti-trophy/,0,844,40,12,33,63,0,24,72,64,2,5,0,1,246,0,0,63,0,8,9,8,20,0,2,2,1,7,0,5,12,13,10,7,19,5,4,0,2,0,29,1,0,0,24,69,12,2,0,2,3,8,9,12,5,19,7,1,1,36,formula-one.speedtv.com
Text0468,http://msn.foxsports.com/wcbk/story/No-5-Kentucky-73-LSU-60-52057468,0,634,46,10,38,56,0,4,65,41,2,1,0,3,122,12,0,42,0,0,28,8,24,1,0,4,5,15,0,4,53,7,4,11,6,1,2,1,4,0,24,9,1,0,37,24,0,2,0,4,1,25,4,53,4,6,11,1,1,15,msn.foxsports.com
Text0469,http://tribune.com.pk/story/518828/tevez-triple-steers-city-to-fa-cup-semis/,0,270,12,8,6,29,0,2,35,24,1,0,0,3,66,3,0,8,0,0,13,2,8,0,0,0,0,8,0,0,8,1,1,8,11,0,1,0,1,0,6,0,0,0,11,13,0,1,0,5,1,2,1,8,0,11,8,1,1,20,tribune.com.pk
Text0470,http://msn.foxsports.com/nfl/story/new-york-jets-tim-tebow-insists-he-never-asked-out-of-wildcat-122612,0,781,45,12,6,67,0,13,77,47,2,1,0,5,178,8,0,36,1,0,43,10,33,1,1,2,8,19,1,3,48,13,19,14,23,3,5,0,7,0,28,20,1,0,41,32,0,4,0,3,6,32,5,48,3,23,14,1,1,17,msn.foxsports.com
Text0471,http://msn.foxsports.com/wcbk/story/No-7-California-71-Utah-54-72264850,0,545,23,4,44,51,0,0,69,39,1,1,0,1,125,3,0,31,0,0,9,8,17,1,0,4,4,8,0,0,47,15,6,6,7,4,4,0,2,0,12,5,0,0,29,14,0,3,0,3,2,10,3,47,0,7,6,1,1,17,msn.foxsports.com
Text0472,http://motorcycling.speedtv.com/article/ama-maggie-mcnally-elected-chair-of-ama-board-of-directors/,0,486,19,9,7,50,0,2,60,29,3,1,0,0,140,3,0,34,0,0,7,6,16,0,0,1,3,10,0,4,13,11,10,5,10,0,2,0,0,0,20,4,0,0,24,32,0,1,0,6,0,5,4,13,4,10,5,1,1,18,motorcycling.speedtv.com
Text0473,http://msn.foxsports.com/nba/story/los-angeles-lakers-hold-off-new-orleans-hornets-012913,0,880,53,19,55,79,0,11,104,69,2,2,0,5,177,7,0,66,0,0,18,24,40,1,0,6,6,15,0,4,47,22,11,11,12,2,5,2,1,0,25,8,0,0,45,31,0,3,0,13,0,21,5,47,4,12,11,0,1,19,msn.foxsports.com
Text0474,http://msn.foxsports.com/ice_skating/story/united-states-figure-skating-championships-max-aaron-mens-title-012713,0,911,52,32,16,78,2,22,80,73,3,1,0,6,168,2,0,46,0,0,40,31,50,1,2,5,9,24,0,6,72,23,10,9,14,2,4,1,7,0,34,17,0,0,58,44,0,0,0,1,2,54,7,72,6,14,9,1,1,15,msn.foxsports.com
Text0475,http://dailystar.com.lb/Sports/Basketball/2013/Feb-19/206995-mvp-paul-leads-west-over-east-in-all-star-game.ashx,0,615,30,11,20,66,0,15,55,34,1,1,0,1,136,2,0,29,1,3,27,4,14,0,1,1,0,19,0,2,41,8,6,14,10,2,4,0,0,0,17,0,0,0,28,42,0,3,0,5,4,10,3,41,2,10,14,1,1,29,dailystar.com.lb
